Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Evidence_Sources,Verification_URL
Teaching LLMs to Learn Tool Trialing and Execution through Environment Interaction,"Xingjie Gao, Pengcheng Huang, Zhenghao Liu, Yukun Yan, Shuo Wang, Zulong Chen, Chen Qian, Ge Yu, Yu Gu",2026,ArXiv,arXiv:2601.12762v1,Policy|Planning|Exploration|ToolUse|Verifier|Architecture,"This work addresses Equipping Large Language Models (LLMs) with external tools enables them to solve complex real-world problems. It proposes However, the robustness of existing methods remains a critical challenge when confronting novel or evolving tools. The evaluation reports that Experimental results demonstrate that ToolMaster significantly outperforms existing baselines in terms of generalization and robustness across unseen or unfamiliar tools. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.12762v1
Temperature as a Meta-Policy: Adaptive Temperature in LLM Reinforcement Learning,"Haoran Dang, Cuiling Lan, Hai Wan, Xibin Zhao, Yan Lu",2026,ArXiv,arXiv:2602.11779v1,Policy|Reward|CreditAssignment|Exploration|Reasoning|Architecture,"This work addresses Temperature is a crucial hyperparameter in large language models (LLMs), controlling the trade-off between exploration and exploitation during text generation. It proposes We propose Temperature Adaptive Meta Policy Optimization (TAMPO), a new framework that recasts temperature control as a learnable meta-policy. The evaluation reports that Yet static or heuristic temperature schedules fail to adapt to the dynamic demands of reinforcement learning (RL) throughout training, often limiting policy improvement. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.11779v1
The Confidence Dichotomy: Analyzing and Mitigating Miscalibration in Tool-Use Agents,"Weihao Xuan, Qingcheng Zeng, Heli Qi, Yunze Xiao, Junjue Wang, Naoto Yokoya",2026,ArXiv,arXiv:2601.07264v1,Policy|Reward|CreditAssignment|Exploration|ToolUse|Reasoning|Verifier|Architecture,"This work addresses Autonomous agents based on large language models (LLMs) are rapidly evolving to handle multi-turn tasks, but ensuring their trustworthiness remains a critical challenge. It proposes To robustly improve calibration across tool types, we propose a reinforcement learning (RL) fine-tuning framework that jointly optimizes task accuracy and calibration, supported by a holistic benchmark of reward designs. The evaluation reports that To robustly improve calibration across tool types, we propose a reinforcement learning (RL) fine-tuning framework that jointly optimizes task accuracy and calibration, supported by a holistic benchmark of reward designs. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.07264v1
"The Five Ws of Multi-Agent Communication: Who Talks to Whom, When, What, and Why -- A Survey from MARL to Emergent Language and LLMs","Jingdi Chen, Hanqing Yang, Zongjun Liu, Carlee Joe-Wong",2026,ArXiv,arXiv:2602.11583v1,Policy|Planning|Reward|Reasoning|Simulation|LanguageConditioning|MultiAgent|Architecture,"This work addresses Multi-agent sequential decision-making powers many real-world systems, from autonomous vehicles and robotics to collaborative AI assistants. It proposes We trace how communication approaches have evolved across three major paradigms. The evaluation reports that While successful, these protocols are frequently task-specific and hard to interpret, motivating work on Emergent Language (EL), where agents can develop more structured or symbolic communication through interaction. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.11583v1
Thickening-to-Thinning: Reward Shaping via Human-Inspired Learning Dynamics for LLM Reasoning,"Wenze Lin, Zhen Yang, Xitai Jiang, Pony Ma, Gao Huang",2026,ArXiv,arXiv:2602.04265v1,Reward|Exploration|ToolUse|Reasoning|Verifier|Architecture,"This work addresses Reinforcement Learning with Verifiable Rewards (RLVR) has emerged as a promising paradigm for enhancing reasoning in Large Language Models (LLMs). It proposes In this work, we introduce T2T(Thickening-to-Thinning), a dynamic reward framework inspired by human learning processes. The evaluation reports that Extensive experiments on mathematical benchmarks (MATH-500, AIME, AMC) across Qwen-series and Deepseek models demonstrate that T2T significantly outperforms standard GRPO and recent baselines, achieving superior performance. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.04265v1
TIC-VLA: A Think-in-Control Vision-Language-Action Model for Robot Navigation in Dynamic Environments,"Zhiyu Huang, Yun Zhang, Johnson Liu, Rui Song, Chen Tang, Jiaqi Ma",2026,ArXiv,arXiv:2602.02459v1,Reasoning|Simulation|LanguageConditioning|Architecture,"This work addresses Robots in dynamic, human-centric environments must follow language instructions while maintaining real-time reactive control. It proposes Vision-language-action (VLA) models offer a promising framework, but they assume temporally aligned reasoning and control, despite semantic inference being inherently delayed relative to real-time action. The evaluation reports that Extensive experiments in simulation and on a real robot show that TIC-VLA consistently outperforms prior VLA models while maintaining robust real-time control under multi-second reasoning latency. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language model module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.02459v1
TikArt: Aperture-Guided Observation for Fine-Grained Visual Reasoning via Reinforcement Learning,"Hao Ding, Zhichuan Yang, Weijie Ge, Ziqin Gao, Chaoyi Lu, Lei Zhao",2026,ArXiv,arXiv:2602.14482v1,Policy|Reward|Memory|Reasoning|Curriculum|Architecture,"This work addresses We address fine-grained visual reasoning in multimodal large language models (MLLMs), where key evidence may reside in tiny objects, cluttered regions, or subtle markings that are lost under a single global image encoding. It proposes We introduce TikArt (Thinking Aperture), an aperture-guided agent that casts multi-step vision-language reasoning as a decision process over regions of interest. The evaluation reports that Built on Qwen3-VL-8B, TikArt optimizes its reasoning policy with AGRPO, a GRPO-style reinforcement learning algorithm with a two-stage curriculum: it warms up segmentation actions and then jointly optimizes visual math, fine-grained VQA, and segmentation, using rewards that couple task success with purposeful aperture use. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.14482v1
"TMS: Trajectory-Mixed Supervision for Reward-Free, On-Policy SFT","Rana Muhammad Shahroz Khan, Zijie Liu, Zhen Tan, Charles Fleming, Tianlong Chen",2026,ArXiv,arXiv:2602.03073v1,Policy|Reward|Reasoning|Verifier|Curriculum|LanguageConditioning|Architecture,"This work addresses Reinforcement Learning (RL) and Supervised Fine-Tuning (SFT) are the two dominant paradigms for enhancing Large Language Model (LLM) performance on downstream tasks. It proposes We address this trade-off with $\textbf{Trajectory-Mixed Supervision (TMS)}$, a reward-free framework that approximates the on-policy benefits of RL by creating a dynamic curriculum from the model's own historical checkpoints. The evaluation reports that Experiments across reasoning (MATH, GSM8K) and instruction-following benchmarks demonstrate that TMS effectively shifts the accuracy--retention Pareto frontier. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03073v1
Towards AGI A Pragmatic Approach Towards Self Evolving Agent,"Indrajit Kar, Sammy Zonunpuia, Zonunfeli Ralte",2026,ArXiv,arXiv:2601.11658v1,Policy|Reward|CreditAssignment|DatasetGeneration|Reasoning|Curriculum|MultiAgent|Architecture,"This work addresses Large Language Model (LLM) based agents are powerful yet fundamentally static after deployment, lacking the ability to autonomously expand capabilities, generate new tools, or evolve their reasoning. It proposes This work introduces a hierarchical self-evolving multi-agent framework that integrates a Base LLM, an operational SLM agent, a Code-Generation LLM, and a Teacher-LLM to enable continuous adaptation. The evaluation reports that The workflow begins with the agent attempting a task using reasoning and existing tools; if unsuccessful, it escalates to tool synthesis through the Code-Gen LLM, and when failures persist, it triggers an evolution phase using Curriculum Learning (CL), Reward-Based Learning (RL), or Genetic Algorithm (GA) evolution. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.11658v1
TrailBlazer: History-Guided Reinforcement Learning for Black-Box LLM Jailbreaking,"Sung-Hoon Yoon, Ruizhi Qian, Minda Zhao, Weiyue Li, Mengyu Wang",2026,ArXiv,arXiv:2602.06440v1,Exploration|Verifier|LanguageConditioning|Architecture,"This work addresses Large Language Models (LLMs) have become integral to many domains, making their safety a critical priority. It proposes Prior jailbreaking research has explored diverse approaches, including prompt optimization, automated red teaming, obfuscation, and reinforcement learning (RL) based methods. The evaluation reports that However, most existing techniques fail to effectively leverage vulnerabilities revealed in earlier interaction turns, resulting in inefficient and unstable attacks. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language model module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.06440v1
Training Multi-Turn Search Agent via Contrastive Dynamic Branch Sampling,"Yubao Zhao, Weiquan Huang, Sudong Wang, Ruochen Zhao, Chen Chen, Yao Shu, Chengwei Qin",2026,ArXiv,arXiv:2602.03719v1,Policy|Planning|Reward|CreditAssignment|ToolUse|Architecture,"This work addresses Agentic reinforcement learning has enabled large language models to perform complex multi-turn planning and tool use. It proposes While prior tree-based methods attempt to mitigate this issue, they often suffer from high variance and computational inefficiency. The evaluation reports that Extensive experiments on various question answering benchmarks demonstrate that BranPO consistently outperforms strong baselines, achieving significant accuracy gains on long-horizon tasks without increasing the overall training budget. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03719v1
Understanding and Exploiting Weight Update Sparsity for Communication-Efficient Distributed RL,"Erfan Miahi, Eugene Belilovsky",2026,ArXiv,arXiv:2602.03839v1,Policy|Verifier|Architecture|HybridRL,"This work addresses Reinforcement learning (RL) is a critical component for post-training large language models (LLMs). It proposes We present a systematic empirical study of weight-update sparsity at both step-level and multi-step granularities, examining its evolution across training dynamics, off-policy delay, and model scale. The evaluation reports that The reported evaluations compare against baselines and analyze gains in interactive decision performance. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03839v1
Understanding Degradation with Vision Language Model,"Guanzhou Lan, Chenyi Liao, Yuqi Yang, Qianli Ma, Zhigang Wang, Dong Wang, Bin Zhao, Xuelong Li",2026,ArXiv,arXiv:2602.04565v1,Policy|Reward|CreditAssignment|DatasetGeneration|Reasoning|Verifier|Architecture,"This work addresses Understanding visual degradations is a critical yet challenging problem in computer vision. It proposes Building on this insight, we introduce DU-VLM, a multimodal chain-of-thought model trained with supervised fine-tuning and reinforcement learning using structured rewards. The evaluation reports that Extensive experiments demonstrate that our approach significantly outperforms generalist baselines in both accuracy and robustness, exhibiting generalization to unseen distributions. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.04565v1
Unveiling Implicit Advantage Symmetry: Why GRPO Struggles with Exploration and Difficulty Adaptation,"Zhiqi Yu, Zhangquan Chen, Mengting Liu, Heye Zhang, Liangqiong Qu",2026,ArXiv,arXiv:2602.05548v2,Reward|Exploration|Reasoning|Verifier|Curriculum|Architecture,"This work addresses Reinforcement Learning with Verifiable Rewards (RLVR), particularly GRPO, has become the standard for eliciting LLM reasoning. It proposes (ii) at the sample level, the algorithm implicitly prioritizes medium-difficulty samples, remaining agnostic to the non-stationary demands of difficulty focus. The evaluation reports that Through controlled experiments, we reveal that this symmetric property is sub-optimal, yielding two pivotal insights: (i) asymmetrically suppressing the advantages of correct trajectories encourages essential exploration. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.05548v2
Verified Critical Step Optimization for LLM Agents,"Mukai Li, Qingcheng Zeng, Tianqing Fang, Zhenwen Liang, Linfeng Song, Qi Liu, Haitao Mi, Dong Yu",2026,ArXiv,arXiv:2602.03412v1,Policy|Planning|Reward|Exploration|Reasoning|Verifier|Architecture|HybridRL,"This work addresses As large language model agents tackle increasingly complex long-horizon tasks, effective post-training becomes critical. It proposes Prior work faces fundamental challenges: outcome-only rewards fail to precisely attribute credit to intermediate steps, estimated step-level rewards introduce systematic noise, and Monte Carlo sampling approaches for step reward estimation incur prohibitive computational cost. The evaluation reports that Inspired by findings that only a small fraction of high-entropy tokens drive effective RL for reasoning, we propose Critical Step Optimization (CSO), which focuses preference learning on verified critical steps, decision points where alternate actions demonstrably flip task outcomes from failure to success. It includes RL-agent improvements while also touching LLM post-training or alignment components.","The paper includes LLM post-training aspects, but it also introduces mechanisms that improve behavior of agents operating in RL-style interactive loops.",Mixed_but_relevant,arxiv|targeted_search,https://arxiv.org/abs/2602.03412v1
VI-CuRL: Stabilizing Verifier-Independent RL Reasoning via Confidence-Guided Variance Reduction,"Xin-Qiang Cai, Masashi Sugiyama",2026,ArXiv,arXiv:2602.12579v1,Policy|Reward|Reasoning|Verifier|Curriculum|Architecture,"This work addresses Reinforcement Learning with Verifiable Rewards (RLVR) has emerged as a dominant paradigm for enhancing Large Language Models (LLMs) reasoning, yet its reliance on external verifiers limits its scalability. It proposes Recent findings suggest that RLVR primarily functions by eliciting latent capabilities, motivating the development of verifier-free algorithms. The evaluation reports that Empirically, VI-CuRL promotes stability and consistently outperforms verifier-independent baselines across six challenging benchmarks with/without verifiers. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.12579v1
WebGym: Scaling Training Environments for Visual Web Agents with Realistic Tasks,"Hao Bai, Alexey Taymanov, Tong Zhang, Aviral Kumar, Spencer Whitehead",2026,ArXiv,arXiv:2601.02439v3,Policy|Reward|Architecture|AgentTraining,"This work addresses We present WebGym, the largest-to-date open-source environment for training realistic visual web agents. It proposes We present WebGym, the largest-to-date open-source environment for training realistic visual web agents. The evaluation reports that Second, we scale the task set breadth, depth, and size, which results in continued performance improvement. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.02439v3
When and What to Ask: AskBench and Rubric-Guided RLVR for LLM Clarification,"Jiale Zhao, Ke Fang, Lu Cheng",2026,ArXiv,arXiv:2602.11199v1,Reward|CreditAssignment|Verifier|LanguageConditioning|Architecture,"This work addresses Large language models (LLMs) often respond even when prompts omit critical details or include misleading information, leading to hallucinations or reinforced misconceptions. It proposes We introduce AskBench, an interactive benchmark that converts standard QA pairs into multi-turn interactions with explicit checkpoints. The evaluation reports that We study how to evaluate and improve LLMs' ability to decide when and what to ask for clarification without sacrificing task performance. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.11199v1
When Do Multi-Agent Systems Outperform? Analysing the Learning Efficiency of Agentic Systems,"Junwei Su, Chuan Wu",2026,ArXiv,arXiv:2602.08272v1,Policy|Verifier|MultiAgent|Architecture|HybridRL,"This work addresses Reinforcement Learning (RL) has emerged as a crucial method for training or fine-tuning large language models (LLMs), enabling adaptive, task-specific optimizations through interactive feedback. It proposes Reinforcement Learning (RL) has emerged as a crucial method for training or fine-tuning large language models (LLMs), enabling adaptive, task-specific optimizations through interactive feedback. The evaluation reports that However, theoretical insights regarding when and why MARL outperforms Single-Agent RL (SARL) remain limited, creating uncertainty in selecting the appropriate RL framework. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.08272v1
Where-to-Unmask: Ground-Truth-Guided Unmasking Order Learning for Masked Diffusion Language Models,"Hikaru Asano, Tadashi Kozuno, Kuniaki Saito, Yukino Baba",2026,ArXiv,arXiv:2602.09501v1,Policy|Planning|Reasoning|Architecture,"This work addresses Masked Diffusion Language Models (MDLMs) generate text by iteratively filling masked tokens, requiring two coupled decisions at each step: which positions to unmask (where-to-unmask) and which tokens to place (what-to-unmask). It proposes To address this, we introduce Gt-Margin, a position-wise score derived from ground-truth tokens, defined as the probability margin between the correct token and its strongest alternative. The evaluation reports that We demonstrate that leveraging this oracle unmasking order significantly enhances final generation quality, particularly on logical reasoning benchmarks. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.09501v1
Who Deserves the Reward? SHARP: Shapley Credit-based Optimization for Multi-Agent System,"Yanming Li, Xuelin Zhang, WenJie Lu, Ziye Tang, Maodong Wu, Haotian Luo, Tongtong Wu, Zijie Peng, Hongze Mi, Yibo Feng, Naiqiang Tan, Chao Huang, Hong Chen, Li Shen",2026,ArXiv,arXiv:2602.08335v1,Policy|Reward|CreditAssignment|Verifier|MultiAgent|Architecture,"This work addresses Integrating Large Language Models (LLMs) with external tools via multi-agent systems offers a promising new paradigm for decomposing and solving complex problems. It proposes Existing methods typically rely on sparse or globally broadcast rewards, failing to capture individual contributions and leading to inefficient reinforcement learning. The evaluation reports that However, training these systems remains notoriously difficult due to the credit assignment challenge, as it is often unclear which specific functional agent is responsible for the success or failure of decision trajectories. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.08335v1
WideSeek-R1: Exploring Width Scaling for Broad Information Seeking via Multi-Agent Reinforcement Learning,"Zelai Xu, Zhexuan Xu, Ruize Zhang, Chunyang Zhu, Shi Yu, Weilin Liu, Quanlu Zhang, Wenbo Ding, Chao Yu, Yu Wang",2026,ArXiv,arXiv:2602.04634v2,Policy|Planning|CreditAssignment|Exploration|DatasetGeneration|ToolUse|Reasoning|MultiAgent|Architecture,"This work addresses Recent advancements in Large Language Models (LLMs) have largely focused on depth scaling, where a single agent solves long-horizon problems with multi-turn reasoning and tool use. It proposes To bridge this gap, we propose WideSeek-R1, a lead-agent-subagent framework trained via multi-agent reinforcement learning (MARL) to synergize scalable orchestration and parallel execution. The evaluation reports that Extensive experiments show that WideSeek-R1-4B achieves an item F1 score of 40.0% on the WideSearch benchmark, which is comparable to the performance of single-agent DeepSeek-R1-671B. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.04634v2
World Models as an Intermediary between Agents and the Real World,Sherry Yang,2026,ArXiv,arXiv:2602.00785v1,Policy|Planning|Reward|WorldModel|DatasetGeneration|ToolUse|Simulation|Verifier|Architecture,"This work addresses Large language model (LLM) agents trained using reinforcement learning has achieved superhuman performance in low-cost environments like games, mathematics, and coding. It proposes It integrates language-model modules into policy, planning, reward, or exploration components inside the RL loop. The evaluation reports that However, these successes have not translated to complex domains where the cost of interaction is high, such as the physical cost of running robots, the time cost of ML engineering, and the resource cost of scientific experiments. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.00785v1
World-Gymnast: Training Robots with Reinforcement Learning in a World Model,"Ansh Kumar Sharma, Yixiang Sun, Ninghao Lu, Yunzhe Zhang, Jiarao Liu, Sherry Yang",2026,ArXiv,arXiv:2602.02454v1,Policy|Reward|WorldModel|Simulation|LanguageConditioning|Architecture,"This work addresses Robot learning from interacting with the physical world is fundamentally bottlenecked by the cost of physical interaction. It proposes We propose World-Gymnast, which performs RL finetuning of a vision-language-action (VLA) policy by rolling out the policy in an action-conditioned video world model and rewarding the rollouts with a vision-language model (VLM). The evaluation reports that On the Bridge robot setup, World-Gymnast outperforms SFT by as much as 18x and outperforms software simulator by as much as 2x. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.02454v1
World-VLA-Loop: Closed-Loop Learning of Video World Model and VLA Policy,"Xiaokang Liu, Zechen Bai, Hai Ci, Kevin Yuchen Ma, Mike Zheng Shou",2026,ArXiv,arXiv:2602.06508v1,Policy|Reward|WorldModel|DatasetGeneration|Simulation|Architecture|HybridRL,"This work addresses Recent progress in robotic world models has leveraged video diffusion transformers to predict future observations conditioned on historical states and actions. It proposes In this work, we introduce World-VLA-Loop, a closed-loop framework for the joint refinement of world models and Vision-Language-Action (VLA) policies. The evaluation reports that To enhance reliability, we introduce the SANS dataset, which incorporates near-success trajectories to improve action-outcome alignment within the world model. It includes RL-agent improvements while also touching LLM post-training or alignment components.","The paper includes LLM post-training aspects, but it also introduces mechanisms that improve behavior of agents operating in RL-style interactive loops.",Mixed_but_relevant,arxiv|targeted_search,https://arxiv.org/abs/2602.06508v1
WoVR: World Models as Reliable Simulators for Post-Training VLA Policies with RL,"Zhennan Jiang, Shangqing Zhou, Yutong Jiang, Zefang Huang, Mingjie Wei, Yuhui Chen, Tianxing Zhou, Zhen Guo, Hao Lin, Quanlu Zhang, Yu Wang, Haoran Li, Chao Yu, Dongbin Zhao",2026,ArXiv,arXiv:2602.13977v1,Policy|Planning|WorldModel|Simulation|Architecture|HybridRL,"This work addresses Reinforcement learning (RL) promises to unlock capabilities beyond imitation learning for Vision-Language-Action (VLA) models, but its requirement for massive real-world interaction prevents direct deployment on physical robots. It proposes We propose WoVR, a reliable world-model-based reinforcement learning framework for post-training VLA policies. The evaluation reports that It improves rollout stability through a controllable action-conditioned video world model, reshapes imagined interaction to reduce effective error depth via Keyframe-Initialized Rollouts, and maintains policy-simulator alignment through World Model-Policy co-evolution. It includes RL-agent improvements while also touching LLM post-training or alignment components.","The paper includes LLM post-training aspects, but it also introduces mechanisms that improve behavior of agents operating in RL-style interactive loops.",Mixed_but_relevant,arxiv|targeted_search,https://arxiv.org/abs/2602.13977v1
Demystifying Long Chain-of-Thought Reasoning in LLMs,"Edward Yeo, Yuxuan Tong, Morry Niu, Graham Neubig, Xiang Yue",2025,ArXiv,arXiv:2502.03373v1,Policy|Reward|ToolUse|Reasoning|Verifier|Architecture,"This work addresses Scaling inference compute enhances reasoning in large language models (LLMs), with long chains-of-thought (CoTs) enabling strategies like backtracking and error correction. It proposes Reinforcement learning (RL) has emerged as a crucial method for developing these capabilities, yet the conditions under which long CoTs emerge remain unclear, and RL training requires careful design choices. The evaluation reports that Through extensive supervised fine-tuning (SFT) and RL experiments, we present four main findings: (1) While SFT is not strictly necessary, it simplifies training and improves efficiency; (2) Reasoning capabilities tend to emerge with increased training compute, but their development is not guaranteed, making reward shaping crucial for stabilizing CoT length growth; (3) Scaling verifiable reward signals is critical for RL. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|openalex|papers.csv,https://arxiv.org/abs/2502.03373v1
Process Reinforcement through Implicit Rewards,"Ganqu Cui, Lifan Yuan, Zefan Wang, Hanbin Wang, Yuchen Zhang, Jiacheng Chen, Wendi Li, Bingxiang He, Yuchen Fan, Tianyu Yu, Qixin Xu, Weize Chen, Jiarui Yuan, Huayu Chen, Kaiyan Zhang, Xingtai Lv, Shuo Wang, Yuan Yao, Xu Han, Hao Peng, Yu Cheng, Zhiyuan Liu, Maosong Sun, Bowen Zhou, Ning Ding",2025,ArXiv,arXiv:2502.01456v2,Policy|Reward|CreditAssignment|Reasoning|Verifier|Architecture,"This work addresses Dense process rewards have proven a more effective alternative to the sparse outcome-level rewards in the inference-time scaling of large language models (LLMs), particularly in tasks requiring complex multi-step reasoning. It proposes To address these challenges, we propose PRIME (Process Reinforcement through IMplicit rEwards), which enables online PRM updates using only policy rollouts and outcome labels through implict process rewards. The evaluation reports that Starting from Qwen2.5-Math-7B-Base, PRIME achieves a 15.1% average improvement across several key reasoning benchmarks over the SFT model. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|openalex|papers.csv,https://arxiv.org/abs/2502.01456v2
Agent RL Scaling Law: Agent RL with Spontaneous Code Execution for Mathematical Problem Solving,"Xinji Mai, Haotian Xu, Zhong-Zhi Li, Xing W, Weinong Wang, Jian Hu, Yingying Zhang, Wenqiang Zhang",2025,ArXiv,arXiv:2505.07773v4,Policy|Reward|ToolUse|Reasoning|Verifier|Architecture|HybridRL,"This work addresses Large Language Models (LLMs) often struggle with mathematical reasoning tasks requiring precise, verifiable computation. It proposes We implement a robust framework featuring a decoupled code execution environment and validate our findings across standard RL algorithms and frameworks. The evaluation reports that Experiments show ZeroTIR significantly surpasses non-tool ZeroRL baselines on challenging math benchmarks. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2505.07773v4
Agent-R1: Training Powerful LLM Agents with End-to-End Reinforcement Learning,"Mingyue Cheng, Jie Ouyang, Shuo Yu, Ruiran Yan, Yucong Luo, Zirui Liu, Daoyu Wang, Qi Liu, Enhong Chen",2025,ArXiv,arXiv:2511.14460v1,Policy|Exploration|ToolUse|Architecture,"This work addresses Large Language Models (LLMs) are increasingly being explored for building Agents capable of active environmental interaction (e.g., via tool use) to solve complex problems. It proposes Currently, this emerging field lacks in-depth exploration into RL approaches specifically tailored for the LLM Agent context, alongside a scarcity of flexible and easily extensible training frameworks designed for this purpose. The evaluation reports that We conducted experiments on Multihop QA benchmark tasks, providing initial validation for the effectiveness of our proposed methods and framework. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2511.14460v1
